mixture_ID,speaker_1_ID,speaker_1_sex
211-122442-0070,211,F
103-1241-0025,103,F
3879-173592-0043,3879,F
2289-152258-0014,2289,M
201-127786-0068,201,M
226-131532-0032,226,F
3436-172162-0031,3436,M
1235-135883-0032,1235,M
211-122442-0065,211,F
26-496-0006,26,M
7302-86814-0016,7302,F
4051-11217-0008,4051,F
1040-133433-0054,1040,M
1898-145715-0019,1898,F
8838-298545-0044,8838,M
32-4137-0031,32,F
5456-62014-0009,5456,M
5652-19215-0011,5652,F
8747-293952-0018,8747,M
8797-294123-0067,8797,M
5808-54425-0043,5808,M
4640-19187-0041,4640,F
233-134440-0040,233,M
2843-152918-0044,2843,M
3982-182255-0027,3982,F
27-124992-0013,27,M
27-123349-0030,27,M
27-124992-0005,27,M
4441-76263-0016,4441,M
2002-139469-0038,2002,M
3374-298032-0039,3374,M
1447-130552-0005,1447,F
5808-54425-0031,5808,M
1455-138263-0000,1455,M
4481-17498-0033,4481,F
5652-19215-0021,5652,F
125-121124-0084,125,F
839-130898-0019,839,M
2391-145015-0074,2391,F
78-368-0042,78,M
4195-17507-0039,4195,F
4214-7146-0040,4214,F
3440-171009-0042,3440,F
1578-6379-0013,1578,F
211-122442-0012,211,F
8465-246943-0029,8465,F
5652-39938-0066,5652,F
2436-2476-0034,2436,M
4088-158077-0084,4088,F
163-122947-0000,163,M
4813-248638-0016,4813,M
5808-48608-0051,5808,M
887-123289-0033,887,F
6531-61334-0026,6531,F
6476-96661-0015,6476,F
2391-145015-0120,2391,F
6000-86686-0012,6000,F
233-134440-0058,233,M
5456-62043-0034,5456,M
7264-92314-0030,7264,M
5688-41232-0005,5688,F
7302-86814-0041,7302,F
211-122442-0023,211,F
5703-47212-0035,5703,M
458-126290-0019,458,M
1963-142776-0001,1963,F
5688-15787-0030,5688,F
3240-131231-0014,3240,M
7859-102519-0047,7859,F
254-27760-0004,254,M
40-121026-0010,40,F
4640-19187-0022,4640,F
2436-2476-0037,2436,M
118-121721-0014,118,M
5049-25947-0110,5049,M
254-27760-0010,254,M
5104-33406-0012,5104,M
2989-138035-0011,2989,F
2002-139469-0069,2002,M
27-124992-0037,27,M
5514-19193-0000,5514,F
4406-16883-0004,4406,M
3526-176653-0050,3526,F
481-123720-0041,481,M
3486-166446-0011,3486,M
8975-270782-0114,8975,F
2182-181173-0037,2182,F
2136-5143-0036,2136,M
3723-171631-0042,3723,M
5049-25947-0060,5049,M
7402-59171-0045,7402,M
6064-56168-0006,6064,F
4137-11702-0029,4137,F
6147-34605-0040,6147,F
481-123720-0028,481,M
8468-294887-0025,8468,F
1116-137572-0045,1116,F
1081-125237-0020,1081,M
4018-103416-0023,4018,M
40-121026-0007,40,F
1447-130550-0026,1447,F
6925-80680-0025,6925,M
4051-11218-0046,4051,F
4137-11701-0033,4137,F
909-131041-0001,909,M
1867-154075-0005,1867,M
3259-158083-0028,3259,F
8419-286676-0028,8419,M
8975-270782-0041,8975,F
458-126305-0039,458,M
730-359-0035,730,F
6531-61334-0122,6531,F
8629-261139-0067,8629,M
1235-135883-0007,1235,M
328-129766-0070,328,F
831-130746-0015,831,M
1594-135914-0052,1594,M
1963-142393-0030,1963,F
4340-15220-0063,4340,F
6181-216552-0018,6181,M
6531-61334-0074,6531,F
39-121914-0025,39,F
2989-138028-0018,2989,F
374-180299-0001,374,M
6078-54013-0024,6078,F
5867-48852-0041,5867,F
2836-5355-0044,2836,F
2691-156750-0021,2691,F
1578-6379-0042,1578,F
1235-135884-0033,1235,M
4014-186183-0011,4014,M
2843-152918-0078,2843,M
118-47824-0032,118,M
6476-57446-0087,6476,F
201-122255-0008,201,M
2002-139469-0070,2002,M
3235-28452-0014,3235,F
5104-33407-0019,5104,M
39-121915-0026,39,F
6081-41998-0043,6081,M
254-127705-0006,254,M
211-122442-0027,211,F
2007-132570-0039,2007,F
2764-36617-0019,2764,F
374-180299-0005,374,M
3374-298025-0022,3374,M
6925-80680-0053,6925,M
322-124146-0027,322,F
200-124139-0020,200,F
1963-142393-0001,1963,F
446-123501-0045,446,M
730-359-0031,730,F
8975-270782-0108,8975,F
7800-283493-0038,7800,F
89-219-0059,89,F
1246-124548-0008,1246,F
163-122947-0014,163,M
6078-54013-0078,6078,F
125-121124-0020,125,F
83-11691-0018,83,F
1502-122619-0069,1502,F
6078-54007-0030,6078,F
5192-19397-0059,5192,M
8465-246940-0011,8465,F
481-123719-0004,481,M
1447-130552-0004,1447,F
5514-19192-0039,5514,F
1355-39947-0046,1355,M
1246-124550-0039,1246,F
4014-186175-0007,4014,M
1502-122619-0024,1502,F
2007-132570-0049,2007,F
1116-132851-0010,1116,F
730-360-0039,730,F
911-128684-0087,911,M
3214-167602-0011,3214,M
7635-105409-0041,7635,F
211-122442-0078,211,F
3235-28452-0019,3235,F
5339-14133-0040,5339,F
1594-135914-0100,1594,M
6925-80680-0007,6925,M
3526-176653-0038,3526,F
5514-19192-0013,5514,F
3526-175658-0015,3526,F
374-180298-0046,374,M
4406-16882-0036,4406,M
5652-39938-0054,5652,F
7264-92310-0008,7264,M
6209-34599-0028,6209,M
2952-410-0050,2952,M
211-122442-0077,211,F
328-129766-0044,328,F
1447-130550-0022,1447,F
1594-135914-0040,1594,M
3374-298026-0046,3374,M
5322-7678-0009,5322,M
1363-135842-0011,1363,F
8088-284756-0080,8088,M
198-209-0038,198,F
1578-140045-0020,1578,F
1455-138263-0033,1455,M
5456-62014-0010,5456,M
2989-138028-0051,2989,F
3486-166424-0027,3486,M
6531-61334-0002,6531,F
6147-34607-0036,6147,F
6531-61334-0108,6531,F
6078-54013-0069,6078,F
831-130746-0021,831,M
1502-122615-0031,1502,F
2764-36619-0026,2764,F
8063-274116-0022,8063,M
3242-67168-0012,3242,M
3374-298025-0003,3374,M
2989-138028-0022,2989,F
3879-174923-0057,3879,F
481-123720-0083,481,M
26-495-0018,26,M
4014-186175-0026,4014,M
4014-186175-0036,4014,M
4137-11701-0020,4137,F
2416-152139-0022,2416,F
8063-274115-0033,8063,M
8747-293952-0032,8747,M
83-3054-0000,83,F
118-121721-0022,118,M
8629-261140-0018,8629,M
1246-124548-0041,1246,F
6000-86686-0017,6000,F
5456-24741-0021,5456,M
27-124992-0020,27,M
2289-152253-0011,2289,M
4680-16041-0004,4680,F
8226-274369-0020,8226,M
1867-148436-0036,1867,M
1926-147987-0006,1926,F
4898-28461-0058,4898,M
5049-25947-0072,5049,M
5750-35690-0002,5750,M
8324-286681-0019,8324,F
2836-5354-0050,2836,F
4051-11217-0012,4051,F
5192-19397-0052,5192,M
5192-19397-0000,5192,M
6078-54013-0000,6078,F
4051-10927-0022,4051,F
6880-216547-0014,6880,M
2952-407-0016,2952,M
298-126790-0034,298,F
7264-92310-0027,7264,M
4640-19188-0036,4640,F
1578-6379-0012,1578,F
8312-279791-0028,8312,F
1447-130551-0003,1447,F
5778-12761-0032,5778,F
6925-80680-0077,6925,M
211-122425-0072,211,F
445-123857-0004,445,M
78-368-0053,78,M
3486-166424-0051,3486,M
3374-298026-0004,3374,M
60-121082-0049,60,M
27-124992-0014,27,M
1334-135589-0008,1334,M
5022-29405-0020,5022,F
6064-56165-0017,6064,F
2289-152254-0014,2289,M
405-130894-0053,405,M
5339-14134-0051,5339,F
5322-7679-0035,5322,M
2136-5143-0016,2136,M
1926-147979-0019,1926,F
6925-80680-0058,6925,M
1081-125237-0019,1081,M
1447-130551-0023,1447,F
3240-131231-0055,3240,M
2989-138028-0043,2989,F
5688-41232-0037,5688,F
5808-54425-0055,5808,M
3242-8112-0027,3242,M
7800-283478-0005,7800,F
1553-140048-0035,1553,F
32-4137-0030,32,F
2289-152258-0015,2289,M
4406-16883-0057,4406,M
3830-12530-0033,3830,M
730-358-0044,730,F
8014-112586-0015,8014,F
7312-92432-0009,7312,M
83-9960-0019,83,F
5339-14134-0045,5339,F
1235-135883-0024,1235,M
730-359-0028,730,F
3374-298025-0018,3374,M
2911-15084-0002,2911,M
2391-145015-0107,2391,F
5514-19192-0042,5514,F
8797-294123-0000,8797,M
1867-154071-0044,1867,M
289-121652-0038,289,F
3240-131231-0007,3240,M
1898-145720-0000,1898,F
1594-135914-0104,1594,M
89-219-0055,89,F
6078-54013-0059,6078,F
6531-61334-0088,6531,F
6272-70168-0016,6272,F
2989-138028-0045,2989,F
1034-121119-0038,1034,M
4051-11218-0039,4051,F
125-121342-0025,125,F
8014-112602-0041,8014,F
248-130697-0033,248,F
5652-19215-0019,5652,F
5104-33406-0008,5104,M
198-209-0013,198,F
2989-138028-0030,2989,F
8238-274553-0055,8238,F
3374-298032-0017,3374,M
6531-61334-0085,6531,F
8063-274112-0028,8063,M
211-122442-0052,211,F
8063-274115-0025,8063,M
1455-138263-0023,1455,M
4014-186175-0029,4014,M
1926-143879-0004,1926,F
1081-125237-0064,1081,M
5688-15787-0042,5688,F
5393-19218-0029,5393,F
6081-42010-0005,6081,M
3168-173565-0036,3168,M
4441-76250-0006,4441,M
4018-103416-0015,4018,M
3214-167602-0024,3214,M
5688-15787-0028,5688,F
1098-133695-0056,1098,F
4640-19187-0033,4640,F
5561-41615-0000,5561,F
5808-54425-0044,5808,M
4640-19189-0004,4640,F
1363-135842-0012,1363,F
1737-142396-0014,1737,F
441-128982-0028,441,F
5022-29405-0004,5022,F
446-123501-0025,446,M
27-124992-0025,27,M
83-11691-0020,83,F
1594-135914-0051,1594,M
4680-16026-0003,4680,F
5808-54425-0049,5808,M
8465-246942-0014,8465,F
730-360-0020,730,F
8425-287387-0031,8425,M
4014-186179-0004,4014,M
4441-76263-0042,4441,M
1502-122619-0066,1502,F
5339-14134-0068,5339,F
27-124992-0049,27,M
4014-186176-0011,4014,M
2514-149482-0072,2514,M
2989-138035-0060,2989,F
4406-16883-0011,4406,M
302-123516-0024,302,F
307-127535-0035,307,M
6531-61334-0080,6531,F
730-359-0004,730,F
8465-246940-0012,8465,F
8468-294887-0026,8468,F
7402-59171-0033,7402,M
4830-25904-0019,4830,M
27-124992-0063,27,M
4406-16882-0052,4406,M
3982-178459-0036,3982,F
3436-172171-0027,3436,M
6081-42010-0017,6081,M
201-122255-0000,201,M
2764-36619-0018,2764,F
211-122442-0014,211,F
5867-48852-0021,5867,F
3486-166446-0001,3486,M
1183-133255-0002,1183,F
1867-148436-0035,1867,M
6078-54013-0053,6078,F
6272-70191-0013,6272,F
5456-24741-0005,5456,M
2893-139322-0020,2893,M
2843-152918-0045,2843,M
5339-14134-0026,5339,F
3259-158083-0037,3259,F
5561-39621-0010,5561,F
6880-216547-0115,6880,M
19-198-0037,19,F
8063-274115-0018,8063,M
2764-36617-0024,2764,F
1088-134315-0046,1088,F
